days_before,did_effect,scm_effect
30,-0.001177403658136822,-0.0011571647100475026
31,-0.002087422084429041,-0.001817976130558821
32,-0.001676060189336339,-0.0017649023267003964
33,-0.001676060189336339,-0.0017649023267003964
34,-0.001676060189336339,-0.0017649023267003964
36,-0.0016847835695082017,-0.0016282995920018622
37,-0.0016396320363986354,-0.0015759362459382236
38,-0.001502605307904085,-0.0013650293653516025
39,-0.00144048727663496,-0.001252577164034215
40,-0.00144048727663496,-0.001252577164034215
42,-0.0005418789886581658,-0.000597759291679255
43,-0.0014854268245026317,-0.001276849378900181
44,-0.0011289239922623077,-0.000983496721380761
45,-0.0010492447077513638,-0.0008481333154495723
46,-0.0009832600774832285,-0.0007783900174254466
48,-0.0009832600774832285,-0.0007783900174254466
49,-0.0009873235663787861,-0.0009592520457937302
50,-0.0008707188047011358,-0.0008844315492694838
51,-0.0007806995056062422,-0.000786302001764743
53,-6.962185573300962e-06,-0.00045739099547168665
54,-6.962185573300962e-06,-0.00045739099547168665
55,-6.962185573300962e-06,-0.00045739099547168665
56,-1.7430848460474724e-05,-0.00045472345311223277
57,-0.0003166778535716579,-0.0005587010039124145
59,-0.00039865319032273344,-0.0005712173727283659
60,-7.239026729058664e-05,-0.0004239252409905525
61,-7.239026729058664e-05,-0.0004239252409905525
62,-7.239026729058664e-05,-0.0004239252409905525
63,-0.0001471064330409528,-0.00043150300471504375
65,-0.0003003076175102209,-0.0004340753802254717
66,-0.0003003076175102209,-0.0004340753802254717
67,-0.0001568254687662608,-0.00036207484280527337
68,-0.0001568254687662608,-0.00036207484280527337
70,-0.00010588314612463407,-0.00032099790896196543
71,-0.00028159818954059886,-0.0004875934711231013
72,-0.00040380529819150217,-0.0005751238289418847
73,-0.0004441069029388567,-0.000564485403117259
74,-0.0005204942567531431,-0.0005727188152696734
76,-0.0005204942567531431,-0.0005727188152696734
77,-0.0005069595772707896,-0.0006520520548721574
78,-0.0005946214398103023,-0.0006369798490771154
79,-0.0006089243012492775,-0.0005839974055620011
80,-0.0008668847291967866,-0.0007352388101981065
82,-0.0013193618726214974,-0.0009151114757663066
83,-0.0013193618726214974,-0.0009151114757663066
84,-0.00013373467710436253,-0.0007565118466249704
85,-2.3835599578800273e-05,-0.0007011777945822274
86,1.5007474261853109e-05,-0.0006514523081209854
88,0.0007117403565043547,3.242759230317816e-05
89,0.0007117403565043547,3.242759230317816e-05
90,0.0007117403565043547,3.242759230317816e-05
91,0.0009013789692556513,8.694219119387376e-05
93,0.00047037875152656513,8.784785187870927e-05
94,0.0003851404493056659,4.732361056732254e-05
95,0.0006597713495084637,0.00014564585004940683
96,0.0006597713495084637,0.00014564585004940683
97,0.0006597713495084637,0.00014564585004940683
99,0.0008342275317312565,9.378338809153289e-05
100,0.0006324266711980035,2.1368261091240672e-06
101,0.0008089241044198996,5.378550511714758e-05
102,0.0008089241044198996,5.378550511714758e-05
103,0.0008089241044198996,5.378550511714758e-05
105,0.0006435222292313522,-7.430095066787833e-05
106,0.0006175485284667249,-8.873903841585572e-05
107,0.00039105313464057954,-0.00016608020541869476
108,0.00041510016792820195,-0.00018068884684966743
110,9.362930640502414e-05,-3.7697600148743e-05
111,9.362930640502414e-05,-3.7697600148743e-05
112,0.00023619549395562323,-0.00019780053216056205
113,0.0005192239989031511,4.671236268272471e-05
114,0.0006532666310265577,0.00013578288415405868
116,0.0005118514032550857,0.00029607219963352687
117,0.0005118514032550857,0.00029607219963352687
118,0.0005118514032550857,0.00029607219963352687
119,0.0003903724827551594,0.0002799773121788499
120,0.00042079313666530546,0.0002926431805732628
122,6.68405644226089e-05,0.00011710524919745255
123,-0.00017996277702516248,3.3169476010730955e-05
124,-0.00017996277702516248,3.3169476010730955e-05
125,-0.00017996277702516248,3.3169476010730955e-05
126,0.0001866385747627998,1.6658346178188778e-05
128,0.0002191271796199648,2.058205340844136e-05
129,0.000586456982200987,0.0001572719802787224
130,0.00046817661728699935,0.00021066139308988254
131,0.00046817661728699935,0.00021066139308988254
133,0.00042699661472207225,0.00018608220180619302
134,-0.0005618019099092484,-0.00011055629262154545
135,-0.0011050325240150591,-0.0005788999114456166
136,-0.0010720857226590276,-0.0006101109052888934
137,-0.0011512761144489112,-0.0006359447765195256
139,-0.0011512761144489112,-0.0006359447765195256
140,-0.0010933218805876486,-0.0006129763799496215
141,-0.0012490548246444964,-0.000668627760219057
142,-0.0016389285386096246,-0.0006873454177715148
143,-0.0015257646453511837,-0.0006390071804185358
145,-0.001378443488356304,-0.0005694888886668463
146,-0.001378443488356304,-0.0005694888886668463
147,-0.001378443488356304,-0.0005694888886668463
148,-0.00123552959424915,-0.0005143271769680166
150,-0.0014969194030324238,-0.0005382801746113365
